time,station,Net irr demand incl fld appl and norm dist eff (Mcm),Net irr demand incl fld appl and norm dist eff (m3/s),Net irr demand incl fld appl and norm dist eff (l/s/ha),Net irr demand incl fld appl and norm dist eff (mm/day),Gross irr demand incl sw conv eff (Mcm),Gross irr demand incl sw conv eff (m3/s),Gross irr demand incl sw conv eff (l/s/ha),Gross irr demand incl sw conv eff (mm/day),Dependable river flow (Mcm),Dependable river flow (m3/s),Dependable river flow (l/s/ha),Dependable river flow (mm/day),Shortage (Mcm),Shortage (m3/s),Shortage (l/s/ha),Shortage (mm/day),Dependable rainfall (mm/day),Reference evapotranspiration (mm/day),Area: Bean_FBEAN1 (ha),Area: LongBerseem_LBSEEM1 (ha),Area: ShortBerseem_SBSEMW1 (ha),Area: Cotton_SDELS1 (ha),Area: SummerMaize_MAIZES1 (ha),Area: Orchard_CITRUS1 (ha),Area: LongRice_PADDY1 (ha),Area: SumerSorghum_SORGMS1 (ha),Area: SugarBeet_SBEET1 (ha),Area: SugarCane_SCANE1 (ha),Area: SumerVegtabl_VEGETS1 (ha),Area: Wheat_WHEAT1 (ha),Area: WintrVegtabl_VEGETW1 (ha),Area: NiliVegetabl_VEGETN1 (ha),Area: NiliMaize_MAIZEN1 (ha),Area: Barley_BARLEY1 (ha),Area: NiliTomato_TMATON1 (ha),Area: NiliPotato_PTATON1 (ha),Area: NiliSorghum_SORGMN1 (ha),Area: SummerTomato_TMATOS1 (ha),Area: SummerPotato_PTATOS1 (ha),Area: SummerOnion_ONIONS1 (ha),Area: WinterTomato_TMATOW1 (ha),Area: WinterOnion_ONIONW1 (ha),Area: OtherLegume_OLGUME1 (ha),Area: Flax_FLAX1 (ha),Area: Soybean_SBEAN1 (ha),Area: Lentil_LENTIL1 (ha),Area: Sesame_SESAME1 (ha),Area: Peanut_GNUT1 (ha),Area: WinterPotato_PTATOW1 (ha),Area: Sprinkler (ha), Area: Surface (ha),Area: ShortRice_PADDY2 (ha), Area: Fallow (ha)
1950-01-01,Blk_Air_25,1.8811641,2.177273,0.49123707,4.244288,1.8811641,2.177273,0.49123707,4.244288,0.0,0.0,0.0,0.0,1.8811641,2.177273,0.49123707,4.244288,0.0,2.7,19.414501,269.99698,1.806,0.0,0.0,232.5225,0.0,0.0,0.4515,1950.0284,0.0,1745.499,38.829002,2.709,0.0,3.1604998,0.0,0.0,0.0,0.0,0.0,0.0,75.4005,91.65451,0.0,0.0,0.0,0.0,0.0,0.0,1.3545,0.0,0.0,0.0,82.17334
1950-01-01,Blk_Air_6,8.027531,9.291123,0.4302323,3.7172067,8.027531,9.291123,0.4302323,3.7172067,0.0,0.0,0.0,0.0,8.027531,9.291123,0.4302323,3.7172067,0.0,2.7,117.92521,3649.13,321.01862,0.0,0.0,847.31445,0.0,0.0,10.919001,2196.903,0.0,12286.059,152.866,2.1837997,0.0,4.3675995,0.0,0.0,0.0,0.0,0.0,0.0,788.3518,1126.8406,0.0,0.0,0.0,0.0,0.0,0.0,198.7258,0.0,0.0,0.0,135.39648
1950-01-01,Blk_Air_7,68.303185,79.05461,0.43485,3.7571042,68.303185,79.05461,0.43485,3.7571042,0.0,0.0,0.0,0.0,68.303185,79.05461,0.43485,3.7571042,0.0,2.7,1319.6305,28720.29,2144.3994,0.0,0.0,12829.738,0.0,0.0,1484.5842,7056.357,0.0,112828.41,1264.6458,0.0,0.0,109.96921,0.0,219.93842,0.0,0.0,0.0,0.0,5956.665,7331.2803,0.0,0.0,0.0,18.3282,0.0,0.0,1227.9895,0.0,0.0,0.0,769.78125
1950-01-01,Blk_Air_58,65.81583,76.17573,0.34881198,3.0137355,65.81583,76.17573,0.34881198,3.0137355,0.0,0.0,0.0,0.0,65.81583,76.17573,0.34881198,3.0137355,0.0,2.13,812.679,34480.812,1091.3118,0.0,0.0,18273.668,0.0,0.0,21872.676,7337.3306,0.0,105973.34,4643.88,162.5358,0.0,394.7298,23.219398,116.097,0.0,0.0,0.0,0.0,6176.3613,6756.8457,0.0,0.0,0.0,0.0,0.0,0.0,10657.705,0.0,0.0,0.0,13420.8125
1950-01-01,Blk_Air_60,15.913043,18.417873,0.37997115,3.2829506,15.913043,18.417873,0.37997115,3.2829506,0.0,0.0,0.0,0.0,15.913043,18.417873,0.37997115,3.2829506,0.0,2.13,168.47679,6570.596,431.10242,0.0,0.0,6476.4463,0.0,0.0,3785.773,0.0,0.0,27050.438,663.9968,203.16318,0.0,351.81918,46.248535,0.0,0.0,0.0,0.0,0.0,1402.3215,1506.3807,0.0,0.0,0.0,0.0,0.0,0.0,4.9551992,0.0,0.0,0.0,890.28125
1950-01-01,Blk_Air_65,12.735593,14.740268,0.34224483,2.9569952,12.735593,14.740268,0.34224483,2.9569952,0.0,0.0,0.0,0.0,12.735593,14.740268,0.34224483,2.9569952,0.0,2.13,118.2142,6670.0093,277.34866,0.0,0.0,3141.7693,0.0,0.0,4887.702,2296.0835,0.0,20137.332,882.0599,9.093399,0.0,86.3873,1.5155666,0.0,0.0,0.0,0.0,0.0,1109.3947,1059.3811,0.0,0.0,0.0,0.0,0.0,0.0,2487.045,0.0,0.0,0.0,2303.664
1950-01-01,Blk_Air_41,16.229273,18.78388,0.50738513,4.383807,16.229273,18.78388,0.50738513,4.383807,0.0,0.0,0.0,0.0,16.229273,18.78388,0.50738513,4.383807,0.0,2.07,897.9432,3730.835,1064.8176,0.0,0.0,13183.077,0.0,0.0,2312.4023,11.9196,0.0,9464.161,3353.3809,234.41876,0.0,214.55283,70.1932,31.785595,0.0,0.0,0.0,0.0,834.37195,552.2748,0.0,7.9463987,0.0,0.0,0.0,0.0,1482.0035,0.0,0.0,0.0,2285.914
1950-01-01,Blk_Air_52,93.794716,108.5587,0.4719978,4.078061,93.794716,108.5587,0.4719978,4.078061,0.0,0.0,0.0,0.0,93.794716,108.5587,0.4719978,4.078061,0.0,2.07,5503.5225,18589.676,4989.8604,0.0,0.0,72304.055,0.0,0.0,12792.631,0.0,0.0,58337.344,18369.535,1051.7844,0.0,22478.83,309.82788,293.52118,0.0,0.0,0.0,0.0,4794.1797,2592.7705,0.0,24.460102,0.0,0.0,0.0,0.0,9539.439,0.0,0.0,0.0,12629.594
1950-01-01,Blk_Air_40,48.012737,55.570297,0.43840885,3.787852,48.012737,55.570297,0.43840885,3.787852,0.0,0.0,0.0,0.0,48.012737,55.570297,0.43840885,3.787852,0.0,2.07,3066.6416,9586.708,2113.496,0.0,0.0,33802.12,0.0,0.0,6575.322,0.0,0.0,34534.25,10291.206,649.2439,0.0,16258.726,138.13701,262.46033,0.0,0.0,0.0,0.0,2638.4165,1105.096,0.0,13.8137,0.0,0.0,0.0,0.0,6561.508,0.0,0.0,0.0,10539.859
1950-01-01,Blk_Air_39,36.738644,42.52158,0.5111058,4.4159536,36.738644,42.52158,0.5111058,4.4159536,0.0,0.0,0.0,0.0,36.738644,42.52158,0.5111058,4.4159536,0.0,2.07,2117.4053,7942.5044,2412.234,0.0,0.0,30179.727,0.0,0.0,5449.862,0.0,0.0,21379.54,7334.978,393.10483,0.0,482.44684,145.92528,62.5394,0.0,0.0,0.0,0.0,1867.2477,1232.9194,0.0,17.868399,0.0,0.0,0.0,0.0,3126.9702,0.0,0.0,0.0,5196.7344
